Center Lat	Center Lon	Radii (m)
27.8365	-82.681772	8046
28.07896	-80.649751	8046
27.231293	-82.495557	8046
26.535055	-80.090717	8046
28.08701	-82.504284	8046
26.21155	-81.77163	3218
28.55244	-81.205098	3218
26.007751	-80.36002	3218
25.49961	-80.41526	3218
30.674298	-88.22548	3218
27.838429	-80.485715	3218
27.792	-82.66362	3218
28.677373	-81.336168	3218
28.02991	-82.45939	3218
26.0661	-80.360896	3218
27.950693	-81.970343	3218
28.846071	-82.344564	3218
29.659879	-82.424059	3218
28.646235	-81.266871	3218
29.071959	-82.071725	3218
30.189837	-85.688353	3218
26.616311	-81.795485	3218
25.684755	-80.437249	3218
30.1942	-81.55163	3218
26.12445	-81.76349	3218
25.785119	-80.335882	3218
29.622725	-82.377075	3218
27.207768	-81.841502	3218
30.178914	-85.681116	3218
26.093361	-80.251181	3218
28.661839	-81.416012	3218
27.05271	-82.396335	3218
30.533513	-87.283555	3218
30.450963	-81.704523	3218
25.68423	-80.44876	3218
26.367838	-80.199965	3218
26.161159	-80.257376	3218
28.04426	-81.73494	3218
27.016426	-82.134012	3218
26.206979	-80.159813	3218
24.566814	-81.77106	3218
28.241852	-82.72779	3218
27.337551	-82.500138	3218
28.846071	-82.344564	3218
29.0151	-80.94076	3218
27.341299	-82.49736	3218
26.145718	-80.32766	3218
30.67273	-88.079666	3218
27.467214	-82.56524	3218
30.18547	-81.55179	3218
29.054897	-81.302927	3218
28.028732	-82.52843	3218
31.374218	-84.946714	3218
30.685127	-88.22547	3218
28.553515	-81.33672	3218
30.456287	-88.54145	3218
25.753682	-80.368001	3218
25.939424	-80.292288	3218
30.102109	-81.723514	3218
28.138657	-80.582801	3218
30.673407	-88.122289	8046
27.244288	-80.271929	8046
28.29383	-82.709408	8046
27.987825	-82.72971	8046
28.553212	-81.346777	8046
28.09097	-81.97387	8046
30.18785	-81.5518	8046
28.08057	-80.65365	8046
26.100508	-80.127637	8046
26.15704	-80.117457	8046
27.966358	-82.729531	8046
26.269616	-80.206163	8046
26.14589	-80.31194	8046
26.162981	-80.115937	8046
30.189463	-81.707117	8046
30.189541	-85.64316	8046
26.588168	-81.871778	8046
30.189544	-85.642725	8046
30.66628	-87.848935	8046
30.388934	-86.425162	8046
27.01352	-82.144598	8046
26.40469	-81.807418	8046
26.007839	-80.300399	8046
26.665396	-80.202756	8046
28.096096	-81.973626	8046
28.07881	-80.696603	3218
25.685748	-80.400829	3218
28.551367	-81.204212	3218
29.154149	-82.181316	3218
26.211658	-81.772894	3218
30.102343	-81.720676	3218
27.839407	-82.783888	3218
27.46249	-82.585084	3218
27.03619	-82.21427	3218
26.680955	-80.203283	3218
28.454802	-81.364665	3218
26.043068	-80.161298	3218
26.808075	-80.07859	3218
28.791932	-81.343504	3218
30.660064	-87.856468	3218
27.43244	-82.57545	3218
28.756068	-81.348792	3218
